,dataset,metrics,SkipGram,POI2Vec,Teaser,Tale,Hier,CTLE,CACSR
0,nyc,loc_clf_acc,0.0784565020547468,0.4146608297755221,0.066165169139328,0.0729841424624457,0.0272921455271528,0.0238791762438763,0.0204685287084116
1,nyc,loc_clf_f1_macro,0.0118637681280618,0.4668052439871413,0.0149804782803263,0.0116227709998444,0.0063407256192416,0.0039566058193043,0.0054156748982036
2,nyc,loc_pre_acc1,0.24499555587768554,0.09930017471313476,0.2452179718017578,0.25322509765625,0.1967304229736328,0.2530026626586914,0.09708629608154297
3,nyc,loc_pre_acc5,0.6032028579711914,0.2343414306640625,0.6017571258544921,0.6139902114868164,0.5220195770263671,0.5977535629272461,0.3181717109680176
4,nyc,traj_clf_acc,0.7760511882998172,0.3358149692277149,0.7650822669104205,0.8190127970749543,0.2605118829981718,0.3345521023765996,0.2513711151736746
5,nyc,traj_clf_f1_macro,0.5082288095638422,0.1578613475388772,0.5064387728878685,0.5976934197059703,0.0510677443036401,0.0690116878616986,0.0513252284507531
6,foursquare_tky,loc_clf_acc,0.3700135766481652,0.635067847373538,0.3554586111887553,0.1511819670167312,0.1151120073473625,0.0569181008665096,0.0822205806013656
7,foursquare_tky,loc_clf_f1_macro,0.0556997122911016,0.6303309909292873,0.0536798220148267,0.0311958934816946,0.017930604239118,0.0124870463182321,0.0124089447110223
8,foursquare_tky,loc_pre_acc1,0.2527968597412109,0.17359506607055664,0.2531647682189941,0.24440206527709962,0.21787988662719726,0.23798055648803712,0.14731015205383302
9,foursquare_tky,loc_pre_acc5,0.529189453125,0.3783328628540039,0.5327179336547853,0.5135202789306641,0.4680011367797852,0.505225830078125,0.3415943145751953
10,foursquare_tky,traj_clf_acc,0.5445786817556201,0.4257210230364592,0.5430493959320997,0.477748891267778,0.1306010093286435,0.0770760055054289,0.125248508946322
11,foursquare_tky,traj_clf_f1_macro,0.3520831822830338,0.3113806118879263,0.3491788868833502,0.2913379867825358,0.0543963698837274,0.0161223639282308,0.0525255663631261
12,chicago,loc_clf_acc,0.0826132957150414,0.537335007811741,0.0787691765120789,0.0694057485452301,0.0845177217421971,0.1032093105272438,0.0731087991535884
13,chicago,loc_clf_f1_macro,0.0078284699523088,0.5680538523579453,0.0065139858195201,0.0094953407319371,0.0084334901935316,0.0109671640542251,0.0070903360008957
14,chicago,loc_pre_acc1,0.09296656608581545,0.10406492233276367,0.09401113510131837,0.1754874610900879,0.08495820999145508,0.24686628341674804,0.1626044464111328
15,chicago,loc_pre_acc5,0.33182449340820314,0.25114910125732426,0.30814762115478517,0.49199161529541013,0.3123258972167969,0.5967966461181641,0.470752067565918
16,chicago,traj_clf_acc,0.4652278177458033,0.4695222405271829,0.4508393285371702,0.7482014388489209,0.422062350119904,0.3741007194244604,0.7338129496402878
17,chicago,traj_clf_f1_macro,0.1344280373604944,0.2673763749313255,0.1417540433953567,0.4864754890393392,0.1310188287237111,0.1102331021943429,0.4927002960145152
18,porto,loc_clf_acc,0.0656108597285067,0.2177777777777777,0.0772247360482654,0.0809954751131221,0.0773001508295625,0.0773001508295626,0.084841628959276
19,porto,loc_clf_f1_macro,0.0078240355623305,0.0712514029180696,0.0095528237172704,0.0100831985739484,0.0111243184997974,0.0099876836751836,0.0096774303335389
20,porto,loc_pre_acc1,0.12812160491943358,0.43600002288818357,0.15852334022521972,0.15852334022521972,0.11400650978088381,0.2595005416870117,0.1769815444946289
21,porto,loc_pre_acc5,0.32247554779052734,0.8159999847412109,0.37567859649658203,0.4234527587890625,0.301845817565918,0.545059700012207,0.42779586791992186
22,porto,traj_clf_acc,0.4910714285714285,0.7761194029850746,0.5044642857142857,0.5133928571428571,0.2767857142857143,0.1919642857142857,0.6160714285714286
23,porto,traj_clf_f1_macro,0.3211726682295832,0.610984126984127,0.3201197349134136,0.3353663575463781,0.1524990378217847,0.0796675279984234,0.4517582745748185
24,singapore,loc_clf_acc,0.0529562982005141,0.6067153220526789,0.0560411311053984,0.0539845758354755,0.0709511568123393,0.0406169665809768,0.0539845758354755
25,singapore,loc_clf_f1_macro,0.0084217322270553,0.608602331114447,0.0107686197017599,0.0116380329638713,0.0120255004351451,0.0088511500734744,0.0116328183589948
26,singapore,loc_pre_acc1,0.16797922134399415,0.10687168121337891,0.16850425720214843,0.18352582931518555,0.14624897956848146,0.1764963150024414,0.1715669059753418
27,singapore,loc_pre_acc5,0.3898319625854492,0.25663124084472655,0.3903570175170898,0.4154124450683594,0.35468441009521484,0.40995800018310546,0.39514057159423827
28,singapore,traj_clf_acc,0.4166666666666667,0.2923217550274223,0.4043478260869565,0.4364734299516908,0.3772946859903381,0.1214975845410628,0.4135265700483091
29,singapore,traj_clf_f1_macro,0.1824212258243915,0.1636748348332538,0.1718904464308048,0.1937748069424035,0.1577973804334064,0.0190162914432249,0.187172405454249
30,sanfransico,loc_clf_acc,0.0230508474576271,0.07825311942959,0.0257627118644067,0.0176271186440677,0.0257627118644067,0.0169491525423728,0.0183050847457627
31,sanfransico,loc_clf_f1_macro,0.0033290080183838,0.0193676999883896,0.0049456723893925,0.0053113126036514,0.0049691272111656,0.0049346720070842,0.0052064979262189
32,sanfransico,loc_pre_acc1,0.039465506076812734,0.2498200035095215,0.03884400129318237,0.0618396520614624,0.03822249889373779,0.10627718925476075,0.05593536376953125
33,sanfransico,loc_pre_acc5,0.1289620876312256,0.5968322372436523,0.11715351104736328,0.20261032104492188,0.12430080413818359,0.2650714683532715,0.16500932693481446
34,sanfransico,traj_clf_acc,0.1980676328502415,0.8066465256797583,0.2004830917874396,0.3671497584541063,0.2077294685990338,0.1859903381642512,0.3526570048309179
35,sanfransico,traj_clf_f1_macro,0.0570306125740088,0.5913147921979919,0.0624783952170235,0.1845404844315903,0.0578524618738711,0.0477663799412096,0.1403519007838372
